sample_id,seed,FW_THICK_CM,LI6_ENRICH_ATOM_FRAC,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,tbr_total,tbr_total_std,tbr_cell_2,tbr_cell_2_std,tbr_cell_3,tbr_cell_3_std,tbr_cell_4,tbr_cell_4_std,tbr_cell_5,tbr_cell_5_std,tbr_cell_6,tbr_cell_6_std,tbr_cell_7,tbr_cell_7_std
s0080,20260414,3.149714410994285,0.7941677252878013,53.384811522792425,44.52010097355418,18.67830518367548,0.9124456333713776,0.0001732902770956,0.0,0.0,1.6286609757134291e-06,2.036258415715392e-10,0.9124440044522536,0.0001732902770955,1.3357604902862862e-10,1.9661765445812893e-12,1.1721301036257603e-10,2.9001482645606347e-12,7.359510906358658e-12,3.2863971202130466e-12
s0081,20260414,4.6534601185188205,0.3863575421691741,53.15964151890496,18.193074470508776,23.38710825515032,0.78049457175937,0.000159553599906,0.0,0.0,2.047026444701424e-06,2.712941129296588e-10,0.7804925242466839,0.0001595535999058,1.4421026820912177e-10,2.443438218640376e-12,1.2481215786101334e-10,2.6532534942340186e-12,2.172189777177895e-10,1.9013109603998335e-11
s0082,20260414,3.4021888918630228,0.4233175371447134,58.60061973287716,36.13472054991047,12.616346799185358,0.8761625962232408,0.0001643079713679,0.0,0.0,1.7104172902222422e-06,2.1441943216284046e-10,0.8761608856529383,0.0001643079713678,7.574870703229257e-11,1.54194594656708e-12,6.963667549314434e-11,1.969447990775065e-12,7.626942221154664e-12,3.167172332838628e-12
s0083,20260414,3.251046167082896,0.3592489228042846,58.14220247592734,32.34905863188777,10.298135394444918,0.8772862683814936,0.0001831534432604,0.0,0.0,1.6628043810006612e-06,2.0621494321924192e-10,0.8772846053952327,0.0001831534432603,8.60978432268259e-11,1.515894184285684e-12,8.208228641304582e-11,2.2877531648364218e-12,1.369980883696523e-11,3.818585229067326e-12
s0084,20260414,2.9486487680303664,0.5900976438541289,39.30630557531646,43.07788302297904,29.66161108001072,0.910232991909354,0.0001852979047357,0.0,0.0,1.5612159460729234e-06,1.8671249299511788e-10,0.9102314282082944,0.0001852979047356,1.3341998849110541e-09,6.878609640458629e-12,1.0782447551618298e-09,9.44380529784133e-12,7.266891596359189e-11,1.1271738130677623e-11
s0085,20260414,1.702651429286616,0.7473173490162622,53.71484258113789,17.587512481653732,25.310409130388702,1.0089553039326835,0.0001856617582919,0.0,0.0,1.0532659826785094e-06,1.301945868922079e-10,1.0089542500889193,0.0001856617582919,1.6351003008945427e-10,2.34806660317408e-12,1.3263454480868754e-10,3.0634006637844597e-12,2.816370314717265e-10,2.2567703193555528e-11
s0086,20260414,2.015941293087,0.4838313976830548,54.18847166248294,39.16551768263432,14.940797265058848,0.981188207684335,0.0001708141686113,0.0,0.0,1.1973865701992246e-06,1.4655624959826082e-10,0.9811870099449004,0.0001708141686112,1.7382644679761207e-10,2.5385824163971395e-12,1.6057494862424708e-10,3.135248456516e-12,1.846316528446321e-11,4.442115964151092e-12
s0087,20260414,3.5911701567927943,0.7251204634413031,67.70159759649064,45.78100468826948,29.360925341834182,0.883519428070184,0.0001420934359902,0.0,0.0,1.7670030102524468e-06,2.260889980456957e-10,0.8835176610363983,0.00014209343599,1.4882499249143165e-11,6.412838046140104e-13,1.5676453395336468e-11,9.624731052319652e-13,2.16532115418634e-13,2.16532115418634e-13
s0088,20260414,1.140540042112687,0.7634945181406723,33.85737311475291,38.80759920381945,11.59087337093993,1.0237946877029382,0.0001554042970882,0.0,0.0,7.631276414530473e-07,9.900988488846464e-11,1.02379391751286,0.0001554042970882,3.810474013729681e-09,1.058424874462931e-11,2.953539035327339e-09,1.5282522321571012e-11,2.984237399093952e-10,2.097275941843837e-11
s0089,20260414,4.525303140153901,0.4269512737381435,65.62604803779529,31.920295360421864,20.176428167634192,0.7982138340957057,0.0001594683613432,0.0,0.0,2.0167241281310665e-06,2.6537921116193524e-10,0.7982118173194884,0.0001594683613429,2.3376527705540152e-11,8.354933186359405e-13,2.146108062983295e-11,9.458145546871957e-13,7.251462183492102e-12,3.7903954737525465e-12
s0090,20260414,4.678191554817877,0.769209316926255,60.09502810184439,49.3719610147527,16.181467308122922,0.8115030430022301,0.0001636425970646,0.0,0.0,2.051887270015158e-06,2.7390730242977357e-10,0.811500991044166,0.0001636425970644,3.769286387773778e-11,1.2192791502920769e-12,3.3101238852591786e-11,1.2911539312371642e-12,0.0,0.0
s0091,20260414,1.312408650424084,0.6766641046010521,55.54555845533889,32.64066481881329,15.681493669928194,1.037004205972797,0.0001924683931911,0.0,0.0,8.569545902399658e-07,1.0922540877429003e-10,1.037003348732254,0.000192468393191,1.3784595651011863e-10,2.409002705977352e-12,1.1897555707035008e-10,3.353275746348636e-12,2.91311976504198e-11,5.334213910110767e-12
s0092,20260414,2.149208839331732,0.7233054684846708,49.29959124856582,28.073334734660808,27.384772147374008,0.977808460711703,0.0001814370816069,0.0,0.0,1.2542456366616045e-06,1.544354106477307e-10,0.9778072057766164,0.0001814370816069,2.9874329156903756e-10,2.7697657236804258e-12,2.4896154523102564e-10,4.3705512375005256e-12,1.4174521174529189e-10,1.6918461781659724e-11
s0093,20260414,4.816452857651514,0.580919033494693,51.64007771972744,33.14411547745287,25.449702333224263,0.7911917371081237,0.0001516079154615,0.0,0.0,2.0837329955893816e-06,2.769314255188544e-10,0.7911896530604382,0.0001516079154612,1.5546643047285695e-10,2.468306661213896e-12,1.3213184760512455e-10,3.2106577203945438e-12,2.7091656422780787e-11,5.4576599946700815e-12
s0094,20260414,2.6710132500913764,0.4358370969672464,40.04827497644663,31.563487082744487,17.121873027854754,0.9156388636151216,0.0001583279814801,0.0,0.0,1.4620422182842473e-06,1.7113835290031912e-10,0.9156373988250048,0.00015832798148,1.3458931111593354e-09,6.943459034352749e-12,1.1010037036427599e-09,8.371880337821296e-12,3.0100155849467637e-10,2.0425481287659745e-11
s0095,20260414,3.830072710154799,0.6903974345879826,45.57472842063421,48.78746985479947,25.073922057115123,0.8617326428174872,0.0001575785916903,0.0,0.0,1.8360397000410244e-06,2.357453714266826e-10,0.8617308059936127,0.0001575785916901,4.192001146499635e-10,4.315555604163432e-12,3.5422327205494487e-10,5.041764188318643e-12,1.0750965689057057e-11,4.9339897159739816e-12
s0096,20260414,1.179780820243941,0.8593738523438985,44.13031577390012,16.574810668280772,15.149995752008795,1.0356520421266764,0.0001439922727004,0.0,0.0,7.846785608814879e-07,1.0017129177771448e-10,1.0356512549463468,0.0001439922727004,7.106477314797842e-10,5.520562051507705e-12,5.283937162348109e-10,5.773510159220859e-12,1.2627273031567801e-09,4.5306948780424357e-11
s0097,20260414,4.85737804732817,0.4814817827388384,57.76193264997087,20.20832400606043,15.287100212266404,0.7810218335917696,0.0001455223661637,0.0,0.0,2.0930695234870177e-06,2.7895531853338605e-10,0.7810197403362199,0.0001455223661634,6.560109286951746e-11,1.4230837527493181e-12,5.774371076870922e-11,1.7190265542885922e-12,6.268142989273088e-11,9.46731573146414e-12
s0098,20260414,1.353072082023059,0.7157144431101978,69.1470708261322,23.05626183189229,24.17749071082099,1.035367923831928,0.0001980854368272,0.0,0.0,8.783335238222233e-07,1.1045717331790644e-10,1.0353670454494808,0.0001980854368272,1.7331560476816518e-11,6.424633300970013e-13,1.6111240245240215e-11,7.588980142741772e-13,1.5480659816358703e-11,4.658866869534488e-12
s0099,20260414,4.340950336766953,0.6026861917754067,65.82486731666224,41.817110709677465,28.13830864671857,0.8272406318913784,0.0001630599137252,0.0,0.0,1.97135650024534e-06,2.5561749972821877e-10,0.8272386604971774,0.000163059913725,1.9679335492973515e-11,7.302754541993968e-13,1.8021368189788185e-11,9.81778780071766e-13,0.0,0.0
s0100,20260414,2.0843264351266138,0.5413453361045336,66.80078099521089,15.205640118633758,27.607979834167857,0.9825882072450476,0.0001817827875844,0.0,0.0,1.226985457496358e-06,1.4884274549900219e-10,0.9825869801202088,0.0001817827875844,2.6089086226191607e-11,1.0160327335327164e-12,2.259637953567872e-11,9.758692412024036e-13,9.069580802601592e-11,1.491484872661383e-11
s0101,20260414,2.86883503478302,0.5947422899580272,61.45173993212393,10.556571235322982,12.69031247992625,0.9285406088437732,0.0001865045032851,0.0,0.0,1.5332848082677178e-06,1.83917750541926e-10,0.928539075258506,0.000186504503285,4.6964755391544777e-11,1.2964560040244437e-12,3.362280885329026e-11,1.275284266906658e-12,2.198713410738781e-10,1.9186166693094112e-11
s0102,20260414,3.010030037217668,0.7716467129695863,49.57562803639198,18.802730384784283,29.176854806689956,0.920544821316048,0.0001800438908041,0.0,0.0,1.5818436080477428e-06,1.9254709701946092e-10,0.9205432386875768,0.000180043890804,2.4480839139931246e-10,2.790291478824641e-12,1.9521399779836414e-10,3.6067894427505603e-12,3.4484079426642376e-10,2.333345672942201e-11
s0103,20260414,3.4631434528706144,0.8645449352786272,68.44354693597407,31.032732186425296,20.561919251188296,0.8933167121183001,0.0001723763040971,0.0,0.0,1.7280799305250108e-06,2.1857021371127383e-10,0.8933149840101012,0.000172376304097,1.1643084502611955e-11,4.990544576039133e-13,1.1422267570270536e-11,7.45312937068293e-13,5.2029547850808995e-12,2.765444943947597e-12
s0104,20260414,3.5612719007508056,0.6739850003398782,30.456075190518053,46.41734964775969,22.44310901400408,0.8552367607122174,0.0001473613003017,0.0,0.0,1.7582367208098835e-06,2.2286827259478744e-10,0.8552349942188738,0.0001473613003015,4.593519890697311e-09,1.3550670806866692e-11,3.547547836927438e-09,2.1852799904529533e-11,1.1555510655621344e-10,1.5601568505642626e-11
s0105,20260414,1.9085445839206328,0.8999808169191577,76.14566491202908,30.12016152735849,20.69517066817513,0.9934787702429652,0.0001678671364021,0.0,0.0,1.1484445504108075e-06,1.4008333115119046e-10,0.9934776217886854,0.0001678671364021,4.048175392674706e-12,3.0766152603541065e-13,3.618870140396492e-12,3.865941898910578e-13,2.0623711236509363e-12,1.4940104792362234e-12
s0106,20260414,1.6171804573578563,0.3447805928309567,62.82972372381604,29.643232680335668,13.653461431614204,0.9969731259891108,0.0001681298911517,0.0,0.0,1.0130554686179528e-06,1.2429472793792214e-10,0.996972112800766,0.0001681298911516,5.7871865643115026e-11,1.5354774425278077e-12,5.6053268034638985e-11,2.029629237500437e-12,1.8951027140741926e-11,7.177625172915701e-12
s0107,20260414,1.296864355785947,0.4424886668975601,59.14348103976928,24.930554702875355,16.714427295303818,1.031774439406314,0.0001779295396528,0.0,0.0,8.492246008717368e-07,1.0794444576021008e-10,1.0317735899432892,0.0001779295396528,9.502657368875513e-11,2.015633108688136e-12,8.457251010278846e-11,2.425942462626514e-12,5.882496071530569e-11,1.0705891295627183e-11
s0108,20260414,3.423164627918593,0.429188449136079,59.577639479604784,21.145880005284692,25.17362497637891,0.875606268353898,0.0001669519490388,0.0,0.0,1.716893671777847e-06,2.143069415725798e-10,0.8756045512808035,0.0001669519490387,6.475214662811932e-11,1.5950497031709825e-12,5.7398701817511656e-11,1.728205732631763e-12,5.7271826361076364e-11,8.690909936247854e-12
s0109,20260414,1.07261008266374,0.8196332329974738,67.0462316252906,19.165480216830225,26.13446600697189,1.0510235660666645,0.0001860181932011,0.0,0.0,7.247171049125659e-07,9.519352094423004e-11,1.0510228412635143,0.000186018193201,2.2481197979726653e-11,8.213618878451245e-13,2.0853078613929212e-11,9.311762364030282e-13,4.2710936303626174e-11,8.346271754615327e-12
