qhat,theta,n_safe,n_uncertain,n_risk,frac_safe,frac_uncertain,frac_risk
0.0217348747527825,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0217348747527825,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.0217348747527825,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.0197569569716486,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0197569569716486,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0197569569716486,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.0268141985932524,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0268141985932524,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0268141985932524,1.5,54,30,60,0.375,0.20833333333333334,0.4166666666666667
0.0181523248705928,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0181523248705928,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0181523248705928,1.5,66,18,60,0.4583333333333333,0.125,0.4166666666666667
0.0279834452183078,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0279834452183078,1.45,98,13,33,0.6805555555555556,0.09027777777777778,0.22916666666666666
0.0279834452183078,1.5,53,31,60,0.3680555555555556,0.2152777777777778,0.4166666666666667
0.0181595867832993,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0181595867832993,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0181595867832993,1.5,66,18,60,0.4583333333333333,0.125,0.4166666666666667
0.0273380636260414,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0273380636260414,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0273380636260414,1.5,54,30,60,0.375,0.20833333333333334,0.4166666666666667
0.0261213534873439,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0261213534873439,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0261213534873439,1.5,55,29,60,0.3819444444444444,0.2013888888888889,0.4166666666666667
0.0355966839069579,1.4,120,14,10,0.8333333333333334,0.09722222222222222,0.06944444444444445
0.0355966839069579,1.45,92,19,33,0.6388888888888888,0.13194444444444445,0.22916666666666666
