sample_id,region,target,time_s,time_yr,true,pred,rel_error,abs_log10_ratio
74,cell_3,atoms_Li7,3153600.0,0.1,4.97159e+22,4.9715899999998746e+22,2.5309633336618666e-14,1.0993333118707612e-14
87,cell_3,atoms_Li7,3153600.0,0.1,4.97159e+22,4.9715899999998746e+22,2.5309633336618666e-14,1.0993333118707612e-14
14,cell_3,atoms_Li7,15768000.0,0.5,4.97159e+22,4.97158962806853e+22,7.481137221646805e-08,3.24901673489558e-08
20,cell_3,atoms_Li7,15768000.0,0.5,4.97159e+22,4.971589988309444e+22,2.3514723072343453e-09,1.0212314672278288e-09
71,cell_3,atoms_Li7,15768000.0,0.5,4.97159e+22,4.971589988309444e+22,2.3514723072343453e-09,1.0212314672278288e-09
74,cell_3,atoms_Li7,15768000.0,0.5,4.97159e+22,4.971589988309444e+22,2.3514723072343453e-09,1.0212314672278288e-09
87,cell_3,atoms_Li7,15768000.0,0.5,4.97159e+22,4.971589988309444e+22,2.3514723072343453e-09,1.0212314672278288e-09
14,cell_3,atoms_Li7,31536000.0,1.0,4.97158e+22,4.971581004730493e+22,2.020948055409038e-07,8.776865000592016e-08
20,cell_3,atoms_Li7,31536000.0,1.0,4.97159e+22,4.97158971960948e+22,5.6398560645117074e-08,2.449358434633691e-08
71,cell_3,atoms_Li7,31536000.0,1.0,4.97159e+22,4.97158971960948e+22,5.6398560645117074e-08,2.449358434633691e-08
74,cell_3,atoms_Li7,31536000.0,1.0,4.97159e+22,4.97158971960948e+22,5.6398560645117074e-08,2.449358434633691e-08
87,cell_3,atoms_Li7,31536000.0,1.0,4.97159e+22,4.97158971960948e+22,5.6398560645117074e-08,2.449358434633691e-08
14,cell_3,atoms_Li7,63083642.4,2.0003691780821917,4.97157e+22,4.971571144925473e+22,2.3029454953461352e-07,1.0001564051347056e-07
20,cell_3,atoms_Li7,63083642.4,2.0003691780821917,4.97158e+22,4.971579868840198e+22,2.6381915182339297e-08,1.1457520348002909e-08
71,cell_3,atoms_Li7,63083642.4,2.0003691780821917,4.97158e+22,4.971579868840198e+22,2.6381915182339297e-08,1.1457520348002909e-08
74,cell_3,atoms_Li7,63083642.4,2.0003691780821917,4.97158e+22,4.971579868840198e+22,2.6381915182339297e-08,1.1457520348002909e-08
87,cell_3,atoms_Li7,63083642.4,2.0003691780821917,4.97158e+22,4.971579868840198e+22,2.6381915182339297e-08,1.1457520348002909e-08
14,cell_3,atoms_Li7,157693327.2,5.000422602739726,4.97151e+22,4.971516468133996e+22,1.30104012586669e-06,5.65034179828065e-07
20,cell_3,atoms_Li7,157693327.2,5.000422602739726,4.97157e+22,4.971567400868347e+22,5.227989655127419e-07,2.2704876523925047e-07
71,cell_3,atoms_Li7,157693327.2,5.000422602739726,4.97155e+22,4.9715509710942865e+22,1.9533028666385333e-07,8.483085733915703e-08
74,cell_3,atoms_Li7,157693327.2,5.000422602739726,4.97157e+22,4.971566998507389e+22,6.037313385081642e-07,2.6219726800128537e-07
87,cell_3,atoms_Li7,157693327.2,5.000422602739726,4.97157e+22,4.971561433995335e+22,1.722997899048406e-06,7.482891245270524e-07
14,cell_3,atoms_Li7,315358696.8,9.999958675799087,4.97135e+22,4.971387629832319e+22,7.569338774874304e-06,3.287309620223218e-06
20,cell_3,atoms_Li7,315358696.8,9.999958675799087,4.97153e+22,4.9715217313878505e+22,1.6631926488208215e-06,7.22315990402855e-07
71,cell_3,atoms_Li7,315358696.8,9.999958675799087,4.97148e+22,4.971488249242478e+22,1.6593132181383694e-06,7.206299765211127e-07
74,cell_3,atoms_Li7,315358696.8,9.999958675799087,4.97152e+22,4.971517148023276e+22,5.7366292887069e-07,2.491387159227046e-07
87,cell_3,atoms_Li7,315358696.8,9.999958675799087,4.97152e+22,4.971515961366118e+22,8.123539444188672e-07,3.5280097872489533e-07
14,cell_2,atoms_H3,3153600.0,0.1,775567000000000.0,781457936297913.9,0.007595651050023885,0.0032862843430933805
20,cell_2,atoms_H3,3153600.0,0.1,493155000000000.0,491495401461000.2,0.0033652675913248623,0.0014639818743841116
71,cell_2,atoms_H3,3153600.0,0.1,616536000000000.0,613736827517792.1,0.004540160643024697,0.0019762563773850703
74,cell_2,atoms_H3,3153600.0,0.1,499326000000000.0,501077284975139.06,0.0035072977876959392,0.0015205351467750007
87,cell_2,atoms_H3,3153600.0,0.1,613247000000000.0,613736827517792.1,0.0007987442544229731,0.00034675175758887386
14,cell_2,atoms_H3,15768000.0,0.5,3836300000000000.0,3865562660644970.5,0.0076278342791154235,0.0033001557562713254
20,cell_2,atoms_H3,15768000.0,0.5,2439210000000000.0,2430916310436555.0,0.0034001539692953865,0.001479184261109324
71,cell_2,atoms_H3,15768000.0,0.5,3049500000000000.0,3035675192640206.0,0.004533466915820299,0.001973336079750317
74,cell_2,atoms_H3,15768000.0,0.5,2469720000000000.0,2478331684813751.0,0.003486907347290786,0.0015117105515377804
87,cell_2,atoms_H3,15768000.0,0.5,3033230000000000.0,3035675192640206.0,0.0008061349255433976,0.00034995891172660295
14,cell_2,atoms_H3,31536000.0,1.0,7572480000000000.0,7630499830959270.0,0.007661932545119961,0.003314852093258128
20,cell_2,atoms_H3,31536000.0,1.0,4814170000000000.0,4797707998688000.0,0.0034194889902101505,0.0014876100845541266
71,cell_2,atoms_H3,31536000.0,1.0,6018890000000000.0,5991517182913062.0,0.004547818133731967,0.001979597163842706
74,cell_2,atoms_H3,31536000.0,1.0,4874320000000000.0,4891447437052445.0,0.0035138105525375847,0.001523353709889178
87,cell_2,atoms_H3,31536000.0,1.0,5986740000000000.0,5991517182913062.0,0.0007979606452028984,0.0003464117119048867
14,cell_2,atoms_H3,63083642.4,2.0003691780821917,2.61997e+16,2.6405650262232584e+16,0.007860787040789933,0.003400548383964352
20,cell_2,atoms_H3,63083642.4,2.0003691780821917,1.6647e+16,1.6587831832043528e+16,0.0035542841326648643,0.0015463557105326092
71,cell_2,atoms_H3,63083642.4,2.0003691780821917,2.08154e+16,2.0720197451859692e+16,0.004573659316674577,0.001990871265231947
74,cell_2,atoms_H3,63083642.4,2.0003691780821917,1.68538e+16,1.6911501097416184e+16,0.0034236253792132337,0.0014843221761209674
87,cell_2,atoms_H3,63083642.4,2.0003691780821917,2.07037e+16,2.0720197451859692e+16,0.0007968359211006728,0.00034592363962159613
14,cell_2,atoms_H3,157693327.2,5.000422602739726,1.15914e+17,1.1695041473162021e+17,0.00894123860465697,0.0038658733797495713
20,cell_2,atoms_H3,157693327.2,5.000422602739726,7.34294e+16,7.312034208474165e+16,0.004208912441860508,0.0018317650274617943
