seed,r2,mae,qhat,ci_width,picp,y_range,width_range_ratio
27,0.9611107502176769,0.006764223987854796,0.013832141263976139,0.027664282527952277,0.7142857142857143,0.15632590962000004,0.1769654345539977
28,0.9950625406863948,0.004090727952146552,0.027942263840741388,0.055884527681482776,1.0,0.19709799699499997,0.2835367610706895
29,0.980469923526821,0.0065374504892666985,0.013580668006066166,0.02716133601213233,0.8571428571428571,0.17809847696799985,0.15250740194152582
30,0.9543258580073626,0.005871877385742289,0.042483721822923703,0.08496744364584741,1.0,0.13315660330900014,0.6381016151987139
31,0.9899271675029397,0.004886622551885116,0.02319882006246976,0.04639764012493952,1.0,0.1840344133209999,0.25211393503893736
32,0.9361991377019949,0.0064582715774156784,0.03456662077419481,0.06913324154838962,1.0,0.11521731752399988,0.6000247448391524
33,0.9907537198252208,0.003464714773843469,0.00954814277909577,0.01909628555819154,1.0,0.13407687943300006,0.142427878982179
34,0.9772369410127588,0.006086518756256923,0.016782126683052567,0.033564253366105135,1.0,0.17633220974899988,0.19034669510398683
35,0.9610335629669149,0.005846809353234228,0.030170622463796093,0.060341244927592186,1.0,0.1157556743899999,0.5212810969792514
36,0.9635290475562265,0.006969714528047637,0.02032637930609682,0.04065275861219364,1.0,0.18360648954500003,0.22141242781198142
37,0.9551809889389312,0.00514735814149717,0.026831164690592768,0.053662329381185536,1.0,0.11961324441300003,0.44863200262255665
38,0.9429443098257344,0.01031510677289828,0.024640701049402525,0.04928140209880505,0.8571428571428571,0.20976981299099995,0.2349308577632161
39,0.9371744831189719,0.00635522344925724,0.00963121366724673,0.01926242733449346,0.7857142857142857,0.11949596124599982,0.1611973085419929
40,0.9798226905019335,0.006121745830118438,0.0161676711544263,0.0323353423088526,0.9285714285714286,0.208199323501,0.15530954551203086
41,0.7961288606578961,0.012807911023190297,0.04621046586090438,0.09242093172180876,0.9285714285714286,0.1247985222000001,0.7405611067549059
42,0.9572957246675965,0.006476416969249134,0.0351841912520332,0.0703683825040664,0.9285714285714286,0.13625486159300015,0.5164467651382609
43,0.9820547282426388,0.004179285971809388,0.01890370281593845,0.0378074056318769,1.0,0.16736221469599988,0.2259016809771013
44,0.9644454442017006,0.007349681332670698,0.011898919200724833,0.023797838401449667,0.7857142857142857,0.17655313803099992,0.1347913646104163
45,0.9517979041205878,0.0073917489979389295,0.011509082017576278,0.023018164035152555,0.7857142857142857,0.1587999637169999,0.14495068825187904
46,0.9846102199456929,0.005844392075544277,0.03229268862001011,0.06458537724002023,1.0,0.190146799431,0.33966060661177105
47,0.9844221280432356,0.00421777917129735,0.021889399503208118,0.043778799006416236,0.9285714285714286,0.208199323501,0.21027349306543716
48,0.9561934645988854,0.006539001785193288,0.01966562151122475,0.0393312430224495,1.0,0.13858149807100006,0.28381308883166173
49,0.9171793501185223,0.012677713921641996,0.021257607299055348,0.042515214598110695,0.7857142857142857,0.19803827771399996,0.2146818033810095
50,0.9474025436236052,0.006249207203839179,0.015506599505907603,0.031013199011815207,0.9285714285714286,0.13001213682699997,0.23854079910310813
51,0.9699353965683775,0.007464897736788267,0.015997711137739845,0.03199542227547969,0.8571428571428571,0.164509679212,0.19448960346125224
52,0.9603985023619754,0.004457543512152297,0.02007689652286926,0.04015379304573852,1.0,0.10680656490500007,0.37594873574909576
53,0.988275531153579,0.003923638834455377,0.021843364015361022,0.043686728030722044,1.0,0.15066329382599997,0.2899626506319154
