region,feature,grid_value,pdp_log10_h3
cell_3,PBLI_THICK_CM,37.02829920763114,0.1657830869837377
cell_3,PBLI_THICK_CM,37.94756235023793,0.15688068886298567
cell_3,PBLI_THICK_CM,38.86682549284472,0.14817229801087797
cell_3,PBLI_THICK_CM,39.786088635451506,0.14816057910709773
cell_3,PBLI_THICK_CM,40.705351778058294,0.12009979314520396
cell_3,PBLI_THICK_CM,41.62461492066508,0.12009979314520396
cell_3,PBLI_THICK_CM,42.54387806327187,0.11605499418582253
cell_3,PBLI_THICK_CM,43.46314120587866,0.11274810038970905
cell_3,PBLI_THICK_CM,44.382404348485444,0.07740142800392132
cell_3,PBLI_THICK_CM,45.30166749109223,0.07659225103630009
cell_3,PBLI_THICK_CM,46.22093063369902,0.0776776983252475
cell_3,PBLI_THICK_CM,47.14019377630581,0.06556714080688258
cell_3,PBLI_THICK_CM,48.059456918912595,0.05327834610139839
cell_3,PBLI_THICK_CM,48.97872006151938,0.045016820330239266
cell_3,PBLI_THICK_CM,49.89798320412616,0.03232622060998934
cell_3,PBLI_THICK_CM,50.81724634673296,0.018156431803910546
cell_3,PBLI_THICK_CM,51.73650948933974,0.014325421007048339
cell_3,PBLI_THICK_CM,52.65577263194653,0.014720935778188692
cell_3,PBLI_THICK_CM,53.575035774553314,-0.003057445745882128
cell_3,PBLI_THICK_CM,54.49429891716011,-0.0030988752423512884
cell_3,PBLI_THICK_CM,55.41356205976689,-0.02264531842710251
cell_3,PBLI_THICK_CM,56.332825202373684,-0.031630112942587565
cell_3,PBLI_THICK_CM,57.252088344980464,-0.038231136163101795
cell_3,PBLI_THICK_CM,58.17135148758726,-0.038231136163101795
cell_3,PBLI_THICK_CM,59.09061463019404,-0.0389185856962607
cell_3,PBLI_THICK_CM,60.009877772800834,-0.03748411552606824
cell_3,PBLI_THICK_CM,60.929140915407615,-0.07648325402307507
cell_3,PBLI_THICK_CM,61.84840405801441,-0.07689178827362811
cell_3,PBLI_THICK_CM,62.76766720062119,-0.08522647927188241
cell_3,PBLI_THICK_CM,63.686930343227985,-0.10825310540849531
cell_3,PBLI_THICK_CM,64.60619348583477,-0.11378181143183042
cell_3,PBLI_THICK_CM,65.52545662844156,-0.1198857558577267
cell_3,PBLI_THICK_CM,66.44471977104834,-0.11989684133967517
cell_3,PBLI_THICK_CM,67.36398291365512,-0.12650245276275324
cell_3,PBLI_THICK_CM,68.28324605626192,-0.130998035265949
cell_3,PBLI_THICK_CM,69.20250919886871,-0.130998035265949
cell_3,PBLI_THICK_CM,70.12177234147549,-0.134177576764805
cell_3,PBLI_THICK_CM,71.04103548408227,-0.13443369518645795
cell_3,PBLI_THICK_CM,71.96029862668907,-0.13443369518645795
cell_3,PBLI_THICK_CM,72.87956176929586,-0.13963321586650346
cell_3,PBLI_THICK_CM,73.79882491190264,-0.14213310607104954
cell_3,PBLI_THICK_CM,74.71808805450942,-0.14323407618157963
cell_3,PBLI_THICK_CM,75.63735119711622,-0.1595389737475897
cell_3,PBLI_THICK_CM,76.55661433972301,-0.1590869561390465
cell_3,PBLI_THICK_CM,77.47587748232979,-0.1622739577510513
cell_3,SHIELD_THICK_CM,12.004204705349025,-0.000921953468163237
cell_3,SHIELD_THICK_CM,12.735005269071817,-0.0011069733954790478
cell_3,SHIELD_THICK_CM,13.465805832794608,-0.0014296489149752214
cell_3,SHIELD_THICK_CM,14.1966063965174,-0.0014634664522040711
cell_3,SHIELD_THICK_CM,14.927406960240189,-0.0014991770070302394
cell_3,SHIELD_THICK_CM,15.65820752396298,0.00011815977070591294
cell_3,SHIELD_THICK_CM,16.389008087685774,2.501116495265004e-06
cell_3,SHIELD_THICK_CM,17.11980865140856,-0.00013592352565837193
cell_3,SHIELD_THICK_CM,17.850609215131353,-0.00013592352565837193
cell_3,SHIELD_THICK_CM,18.581409778854145,-0.00017271064680134295
cell_3,SHIELD_THICK_CM,19.312210342576936,-0.00017271064680134295
cell_3,SHIELD_THICK_CM,20.043010906299727,-0.00018602280475479044
cell_3,SHIELD_THICK_CM,20.77381147002252,0.000495521240912226
cell_3,SHIELD_THICK_CM,21.50461203374531,0.00038700233865651804
cell_3,SHIELD_THICK_CM,22.2354125974681,0.0009955252709574463
cell_3,SHIELD_THICK_CM,22.966213161190893,0.0014899298425164792
cell_3,SHIELD_THICK_CM,23.69701372491368,0.0014899298425164792
cell_3,SHIELD_THICK_CM,24.427814288636476,0.0014230843194520464
cell_3,SHIELD_THICK_CM,25.158614852359264,0.001492588265731423
cell_3,SHIELD_THICK_CM,25.889415416082056,0.0018601936461483696
cell_3,SHIELD_THICK_CM,26.620215979804847,0.0012347018014316712
cell_3,SHIELD_THICK_CM,27.35101654352764,0.0017073686264686655
cell_3,SHIELD_THICK_CM,28.08181710725043,0.002513522903553212
cell_3,SHIELD_THICK_CM,28.81261767097322,0.0027074726767276395
cell_3,SHIELD_THICK_CM,29.543418234696013,0.0027074726767276395
cell_3,SHIELD_THICK_CM,30.274218798418804,0.000389911796776333
cell_3,SHIELD_THICK_CM,31.005019362141596,-7.464269426144122e-05
cell_3,SHIELD_THICK_CM,31.735819925864384,-0.00024520526445884227
cell_3,SHIELD_THICK_CM,32.46662048958717,-0.0001480583883830905
cell_3,SHIELD_THICK_CM,33.19742105330997,-0.0008790773713317749
cell_3,SHIELD_THICK_CM,33.92822161703276,-0.0008752244179260302
