region,target,sample_id,time_s,time_yr,true,pred,ci_lower,ci_upper
cell_3,atoms_Li6,14,236524212.0,7.500133561643835,4.07687e+21,4.0773183381245893e+21,4.073621992608989e+21,4.081018037650501e+21
cell_3,atoms_Li6,14,264894494.4,8.399749315068494,4.07562e+21,4.0762020227378504e+21,4.071821223442297e+21,4.080587535256656e+21
cell_3,atoms_Li6,14,293296334.40000004,9.300365753424659,4.07408e+21,4.074792801478109e+21,4.0697974645241403e+21,4.079794269791562e+21
cell_3,atoms_Li6,14,315355396.8,9.99985403348554,4.07289e+21,4.0734781586192623e+21,4.06787434847735e+21,4.0790896884411395e+21
cell_3,atoms_Li6,14,316564696.8,10.038200684931507,4.07289e+21,4.0734781586192623e+21,4.06787434847735e+21,4.0790896884411395e+21
cell_3,atoms_Li6,14,6622551705.6,209.99973698630137,4.07289e+21,4.0734781586192623e+21,4.06787434847735e+21,4.0790896884411395e+21
cell_3,atoms_Li6,14,1577122396696.8,50010.22313219178,4.07289e+21,4.0734781586192623e+21,4.06787434847735e+21,4.0790896884411395e+21
cell_3,atoms_Li6,20,3153600.0,0.1,4.08335e+21,4.083344596371979e+21,4.083332247731153e+21,4.08335694505015e+21
cell_3,atoms_Li6,20,31536000.0,1.0,4.0832e+21,4.083186250422483e+21,4.0830548840138287e+21,4.0833176210576617e+21
cell_3,atoms_Li6,20,59927882.4,1.9003006849315067,4.08284e+21,4.082813216927984e+21,4.0823858928883776e+21,4.083240585697765e+21
cell_3,atoms_Li6,20,91453924.8,2.8999849315068493,4.08244e+21,4.0823760432164247e+21,4.0816013689855714e+21,4.083150864477845e+21
cell_3,atoms_Li6,20,119824207.2,3.799600684931507,4.08176e+21,4.081648854240713e+21,4.080324752333567e+21,4.08297338583078e+21
cell_3,atoms_Li6,20,148226047.2,4.700217123287671,4.08103e+21,4.080887746167086e+21,4.0789614178823695e+21,4.082814984178637e+21
cell_3,atoms_Li6,20,176596329.6,5.599832876712329,4.08031e+21,4.0801502122847487e+21,4.077638298927874e+21,4.0826636730345623e+21
cell_3,atoms_Li6,20,204998169.6,6.500449315068493,4.07959e+21,4.0793660043928656e+21,4.0762519701680287e+21,4.08248241757004e+21
cell_3,atoms_Li6,20,236524212.0,7.500133561643835,4.07878e+21,4.0785342231041304e+21,4.074836775312324e+21,4.082235025906439e+21
cell_3,atoms_Li6,20,264894494.4,8.399749315068494,4.0779e+21,4.077559909262478e+21,4.0731776506113043e+21,4.081946882706998e+21
cell_3,atoms_Li6,20,293296334.40000004,9.300365753424659,4.07682e+21,4.0763998967049995e+21,4.07140258959388e+21,4.081403337593807e+21
cell_3,atoms_Li6,20,315355396.8,9.99985403348554,4.07597e+21,4.0754699309618865e+21,4.0698633807748284e+21,4.081084204603532e+21
cell_3,atoms_Li6,20,316564696.8,10.038200684931507,4.07597e+21,4.0754699309618865e+21,4.0698633807748284e+21,4.081084204603532e+21
cell_3,atoms_Li6,20,6622551705.6,209.99973698630137,4.07597e+21,4.0754699309618865e+21,4.0698633807748284e+21,4.081084204603532e+21
cell_3,atoms_Li6,20,1577122396696.8,50010.22313219178,4.07597e+21,4.0754699309618865e+21,4.0698633807748284e+21,4.081084204603532e+21
cell_3,atoms_Li6,71,3153600.0,0.1,4.08335e+21,4.0833490306447206e+21,4.083336681990484e+21,4.0833613793363016e+21
cell_3,atoms_Li6,71,31536000.0,1.0,4.08322e+21,4.083222284561473e+21,4.08309091699351e+21,4.0833536563559987e+21
cell_3,atoms_Li6,71,59927882.4,1.9003006849315067,4.08289e+21,4.0829074579204174e+21,4.08248012401716e+21,4.0833348365548813e+21
cell_3,atoms_Li6,71,91453924.8,2.8999849315068493,4.08253e+21,4.082564382818592e+21,4.0817896728482976e+21,4.083339239826236e+21
cell_3,atoms_Li6,71,119824207.2,3.799600684931507,4.08192e+21,4.081971408553565e+21,4.080647202008613e+21,4.083296044815394e+21
cell_3,atoms_Li6,71,148226047.2,4.700217123287671,4.08127e+21,4.08134145025664e+21,4.079414907806998e+21,4.083268902534258e+21
cell_3,atoms_Li6,71,176596329.6,5.599832876712329,4.08063e+21,4.080722623081778e+21,4.0782103573245623e+21,4.083236436449019e+21
cell_3,atoms_Li6,71,204998169.6,6.500449315068493,4.07998e+21,4.080090960240621e+21,4.076976372611819e+21,4.0832079272445314e+21
cell_3,atoms_Li6,71,236524212.0,7.500133561643835,4.07926e+21,4.0793903075598585e+21,4.0756920836736496e+21,4.083091887160786e+21
cell_3,atoms_Li6,71,264894494.4,8.399749315068494,4.07847e+21,4.0786558687918167e+21,4.0742724322847107e+21,4.0830440213595035e+21
