sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,pr_tbr_gt_1.05,pr_tbr_gt_1.10,pr_tbr_gt_1.15,pr_tbr_gt_1.20,pr_tbr_gt_1.25,pr_tbr_gt_1.30,pr_tbr_gt_1.35,pr_tbr_gt_1.40,pr_tbr_gt_1.45,pr_tbr_gt_1.50
20,test,4.552477872932693,55.9040656620228,17.67597774260239,24.52366034989108,0.5747812742679754,1.413675161236,1.4297791092127727,1.3945949179607395,1.464963300464806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9231887696303375,0.21264238188139814,0.0
21,calibration,3.284396920378341,79.40586642199284,32.97002103610011,19.05074161359064,0.7388077337401184,1.51933090721,1.52120741807507,1.486023226823037,1.5563916093271033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8013770861344521
22,train,1.291460165888437,42.28003646234613,27.898181701939063,25.686589673371152,0.4257083391741412,1.522542723426,1.5225806679072529,1.4873964766552197,1.557764859159286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8208922402891384
23,train,2.0082420946992827,59.98588682760588,31.3374646381376,17.03616810663013,0.5084500349845809,1.536171294597,1.5364128537110215,1.5012286624589883,1.5715970449630547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,train,2.26940750823547,40.254743200801805,26.285719678835584,10.356155559747544,0.7133398461171949,1.546609389448,1.5464126534516278,1.5112284621995946,1.581596844703661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,train,4.940031264187009,48.33318744485935,28.636040089503368,12.548607504932985,0.7014891164853378,1.396924564211,1.3968341720320738,1.3616499807800406,1.432018363284107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4550106474631112,0.0,0.0
26,train,1.7935804773488515,34.76612163504309,12.66033653990891,23.07176136234164,0.69304633987317,1.54364444703,1.543771432224582,1.5085872409725487,1.5789556234766151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,train,3.589665244774232,44.42369908048821,41.645534521279615,28.72961335063049,0.8501494150429036,1.511006751434,1.5110851593701236,1.4759009681180904,1.5462693506221568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6575303989612519
28,train,3.751476173796251,64.25299750023254,16.35489462504514,16.922586510053947,0.4855598485302813,1.462350835869,1.4658432544353126,1.4306590631832794,1.5010274456873458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7251473441839751,0.014600956435035773
29,calibration,3.3584321559983032,37.15102250169704,34.149051236025386,27.984756304027087,0.4187574025293482,1.475559141737,1.47614842535739,1.4409642341053568,1.5113326166094232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8715933836603248,0.16104699591138555
30,train,2.227352808544208,57.90305858527799,14.732209224519252,17.2896773351555,0.5566434766168603,1.537705806151,1.5374595230695651,1.502275331817532,1.5726437143215986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,train,1.6459184707040648,46.47613699410016,37.6595544446989,13.420755317787652,0.3253927684230795,1.516854057288,1.5164367841425848,1.4812525928905516,1.551620975394618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7335819519744528
32,calibration,1.101177091425177,79.96387005879916,28.94266395461544,26.857177598894257,0.433718911370503,1.51639722399,1.5175352244331113,1.482351033181078,1.5527194156851445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7491918075862831
33,train,1.0539900655712495,53.92545176954643,31.00839208894238,27.364736140472992,0.8688575636422364,1.512876002187,1.5152862394356974,1.4801020481836642,1.5504704306877306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7172316442660033
